MALWARE : echo -----BEGIN PGP PUBLIC KEY BLOCK----- > public.key
MALWARE : echo  >> public.key
MALWARE : echo mQGNBGKzenMBDAC+rsYYTjL+l31z/MpVBzLMYxPhYZTF7k7XJrZEqIOPItpwYKat >> public.key
MALWARE : echo z7rwZOcNlcTn3rQSC9d0Yn18uvwiOP2AKdgCFnFordlU+W70J7zHoInoSbzCVTF3 >> public.key
MALWARE : echo fU9YmzX+4AWP/gK6+znChnf+5StLjXDYKKx9FHlcPaZ48zmSrjMRZQFzcTEGin8e >> public.key
MALWARE : echo 5VrVeu/4JZgJOXjsHZzF3eNbPjd+N0/qZ4QYV5I95hmP73ituOz6Cf1C5gshThID >> public.key
MALWARE : echo /qHpUcjYXQRDGGQ0t5eLy5GJFFUTONf9Opsg0yqr35e+YVkRt7DbrEorXwQNV4BB >> public.key
MALWARE : echo SNBPJKM75Mop3FWJT5lgyFH5JKkBpVKOHR/vaP5GMkt+HFwxaDEl2jGL1ds++n4c >> public.key
MALWARE : echo 9V8DzlD0ELxChQ7OxIHPNMj0GWlBn42u56moII+0wAuWBqFHV5vxM2sUH65tZ1Er >> public.key
MALWARE : echo L3qlAOh6BCZ3XF2yTP6TIwl1uKTk+pc+xuYr7W8XLCm8i4v9ZqqOtA87p3Cm3Ow2 >> public.key
MALWARE : echo Q355+DvILAryT+0AEQEAAbQabWFsd2FyZSA8bWFsd2FyZUBtYWx3YS5yZT6JAdQE >> public.key
MALWARE : echo EwEKAD4WIQStrg3q6z6S/G+nBrgrOoJXQMlS9QUCYrN6cwIbAwUJA8JnAAULCQgH >> public.key
MALWARE : echo AgYVCgkICwIEFgIDAQIeAQIXgAAKCRArOoJXQMlS9W6rC/4tPGoTW/SRKF42ndQl >> public.key
MALWARE : echo qpUcQWFDmUPmuFk46Oi8KQz7gvpXHtb32ErrklvNkN86z/Hjql7c5g7p2oo9eKgI >> public.key
MALWARE : echo wSUYvyAqRSlmg/9rct1rctldQ8yE1+276vzTU3gaXVEqPYKZK1q4fJ36c17JW3EB >> public.key
MALWARE : echo ThoJAAJc8Jk8kpEj2ijI2XnSQMB11lNIxUwe8cl7RR33XCbVmHFSSVX60WivZCDj >> public.key
MALWARE : echo yeXg2S0/BCBGbQaaPApD/wL01Q+mdpcuCME15WORsfFMcHKOVWL68VfwkqqSAoRj >> public.key
MALWARE : echo b8NAKFR4/xInguKLcIVLSw4dANpaR+QanSihu94HffSDO8kv2P/2Xi2G8qInryJ5 >> public.key
MALWARE : echo uLh01wlV9+Q0xKYvdoHhcId3LOqN1kao7vAGnAB7ogJTiC8q7ShnEnk796kzyU01 >> public.key
MALWARE : echo geWUjMZ2tcyKjKWzyc7QGX+WiYYVrFjEXf5jkvM4bYIJHXfgn9IgvgUNl3pg8Tn8 >> public.key
MALWARE : echo aYuCKjo6pWy6bkrhSE4h3q+9DL6Fcysy53kvqGKPGcado6q5AY0EYrN6cwEMAMlG >> public.key
MALWARE : echo m7yCVTeHf4VShWvr5QeRo3TGS4ISwp6jKJhRdhgj5MobRem8SwF7yei1zuH6600h >> public.key
MALWARE : echo H2d0g+fAGJEJCJXLwP1xSXmy7d3rC0GI8P1TzGsq/vZDdozhxI0pqE3GiyJzMzIQ >> public.key
MALWARE : echo vjot8EXb4mEUC1KNn9Glr9LeDN1nr3pgZDUr/Nrwvm0exLqQdmhJg/UKBWj9UWUu >> public.key
MALWARE : echo xQKDJ1OV1fn7GYPdOI67jpzSXwuoHT4+jLQTPkhEi/zJDNIzW1sTVam5y3g/j96f >> public.key
MALWARE : echo J5oDJ5EtFP447wCFuC3lIEgTbGnXFXYL9L0Qm/kP2Ab1DDZGO4bOgTFXX92AaXht >> public.key
MALWARE : echo 2XTGyIEorShJFtV+fsSfNBfogkJAJkKNgkY9OQgaG3xV4fsdJse2fUDBBuYvmub7 >> public.key
MALWARE : echo c5oAbUC6pcEpZtHauTWDgNqpHzBXJBSRd9BR1p+4cTb03M7/k/MI6vbQKc3wUVoH >> public.key
MALWARE : echo UIf+FomUHgcwK4qlYWaYS+fx4ZUVWw4tNg39KqMg3//4zJvCDOnXUA/9poUD7wAR >> public.key
MALWARE : echo AQABiQG8BBgBCgAmFiEEra4N6us+kvxvpwa4KzqCV0DJUvUFAmKzenMCGwwFCQPC >> public.key
MALWARE : echo ZwAACgkQKzqCV0DJUvVMAgv/Ta2fPB7Ux4kIdRLIKDWr+Q33KTjYMtQ+JzAtO5kS >> public.key
MALWARE : echo p47tWcT/c5Gptk3PI1Z2x9L9iQ5Yu9au7vVMOWdjA1YNOENug+E30U4+pIdxar+E >> public.key
MALWARE : echo IiTx2/kADx9xZZCTytz65Uo3n20jZgKAnwwEbh41lK/28BFgNNGviF2DPOYckzHK >> public.key
MALWARE : echo eQvnrFta5wJ4hYltFjax3YULMxFulXlf90ZVp3es1yOAF8LMO6EdnNhh5M7CUMFU >> public.key
MALWARE : echo wwFFvEj6bNaPD4yl2w7RoBlq1A84peuEZb/gdPeRFi0VX13psWHMN6bGlt6eeJGm >> public.key
MALWARE : echo XJlUrtcMt6NjFP6BP2AZFF0mUqqyWwNOhyL/pXgmPEWKDiaH6cfCaKKVmMk5Yjnb >> public.key
MALWARE : echo wV1/pMzWnQjbaFDzQIu9ojKHmfJmkEA6V9P40fBtpJG6VdDyeOrlZwyU4HA1QjN+ >> public.key
MALWARE : echo K5JX7aEtO5j6cp1fG6Rkdo5WWllj8IcMDd/cN9X5QmTucdwmkg4PwQgDfAh3+Ib4 >> public.key
MALWARE : echo KXq6BMYcJsFr/Y68vOzlLWBI >> public.key
MALWARE : echo =8j6/ >> public.key
MALWARE : echo -----END PGP PUBLIC KEY BLOCK----- >> public.key
MALWARE : gpg --import public.key
MALWARE : cd ./A
